week,topic,question,answer,point
2,Layouts & Views Basics,"What is the main purpose of the AndroidManifest.xml file in an Android project?
A) To define the app's user interface layout
B) To declare app components, permissions, and configuration settings
C) To store string resources and constants
D) To contain the main application logic",B,1.166
2,Layouts & Views Basics,"In an Android project structure, where are the layout XML files typically stored?
A) app/src/main/java/
B) app/src/main/assets/
C) app/src/main/res/layout/
D) app/src/main/res/values/",C,1.166
2,Layouts & Views Basics,"Which method is called when an Android activity is first created?
A) onStart()
B) onResume()
C) onCreate()
D) onDestroy()",C,1.166
2,Layouts & Views Basics,"What is the correct way to find a View by its ID in an Android activity?
A) getView(R.id.viewId)
B) findViewById(R.id.viewId)
C) findView(R.id.viewId)
D) getViewById(R.id.viewId)",B,1.166
2,Layouts & Views Basics,"Which XML attribute is used to set the text content of a TextView?
A) android:content
B) android:value
C) android:text
D) android:title",C,1.166
2,Layouts & Views Basics,"What is the most common parent layout used as the root element in Android XML layouts?
A) RelativeLayout
B) LinearLayout
C) ConstraintLayout
D) FrameLayout",C,1.166
2,Layouts & Views Basics,"To handle a button click event in Android, which method should you implement?
A) onTouch()
B) onClick()
C) onPress()
D) onTap()",B,1.166
2,Layouts & Views Basics,"In the project structure, what does the R class represent?
A) Resources class that provides access to app resources
B) Runtime class for app execution
C) Request class for network operations
D) Root class for the application",A,1.166
2,Layouts & Views Basics,"Which XML attribute is used to assign a unique identifier to a View?
A) android:name
B) android:id
C) android:identifier
D) android:key",B,1.166
2,Layouts & Views Basics,"For Lab 1's Hello World app, what is the correct way to change a TextView's text programmatically?
A) textView.changeText(""New Text"")
B) textView.updateText(""New Text"")
C) textView.setText(""New Text"")
D) textView.text = ""New Text""",C,1.166
3,UI Components & Event Handling,"Which attribute is used to set the hint text for an EditText component?
A) android:text
B) android:hint
C) android:placeholder
D) android:helperText",B,1.166
3,UI Components & Event Handling,"What method is called when a Button is clicked and an OnClickListener is implemented?
A) onTouch()
B) onPress()
C) onClick()
D) onTap()",C,1.166
3,UI Components & Event Handling,"Which input type should be used for an EditText to accept only numeric values?
A) android:inputType=""text""
B) android:inputType=""number""
C) android:inputType=""numeric""
D) android:inputType=""integer""",B,1.166
3,UI Components & Event Handling,"How do you programmatically set text in a TextView?
A) textView.text = ""Hello""
B) textView.setText(""Hello"")
C) textView.setContent(""Hello"")
D) textView.changeText(""Hello"")",B,1.166
3,UI Components & Event Handling,"Which of the following is the correct way to implement OnClickListener using an anonymous inner class?
A) button.setOnClickListener(new OnClickListener() { ... })
B) button.setOnClickListener(new View.OnClickListener() { ... })
C) button.setClickListener(new OnClickListener() { ... })
D) button.addOnClickListener(new View.OnClickListener() { ... })",B,1.166
3,UI Components & Event Handling,"What method is used to retrieve text from an EditText component?
A) editText.getContent()
B) editText.getValue()
C) editText.getText()
D) editText.readText()",C,1.166
3,UI Components & Event Handling,"Which attribute makes a Button unclickable?
A) android:clickable=""false""
B) android:enabled=""false""
C) android:disabled=""true""
D) android:interactive=""false""",B,1.166
